iter	MultiClass
0	1.912620637
1	1.768962401
2	1.653839248
3	1.539336902
4	1.430077287
5	1.339675539
6	1.275637374
7	1.214493178
8	1.157833403
9	1.105679064
10	1.062973826
11	1.02469715
12	0.9845289806
13	0.9530549281
14	0.915574687
15	0.8824941323
16	0.8475602631
17	0.8187606018
18	0.7993404064
19	0.7702389305
20	0.7464599141
21	0.7252331076
22	0.702072956
23	0.6837656554
24	0.6669409615
25	0.6494997393
26	0.6281902087
27	0.6119206328
28	0.5940334225
29	0.5770330204
30	0.559551802
31	0.5454838575
32	0.5372073971
33	0.5273617241
34	0.5158548523
35	0.5067957516
36	0.493145902
37	0.4828247127
38	0.4733514244
39	0.4628454613
40	0.4550188203
41	0.4450311844
42	0.4354696506
43	0.426609872
44	0.4186685875
45	0.4098200027
46	0.4016348736
47	0.394240421
48	0.3876955596
49	0.3787460867
50	0.3710515412
51	0.3653496059
52	0.3600044032
53	0.3526859529
54	0.347595655
55	0.341938264
56	0.336330225
57	0.3300471541
58	0.3245846665
59	0.3188550757
60	0.3138212239
61	0.308005877
62	0.3040626882
63	0.3013197298
64	0.2958126178
65	0.2910327654
66	0.2857940505
67	0.2813070824
68	0.2760499241
69	0.2710339877
70	0.2666113305
71	0.2627682115
72	0.2575983777
73	0.2541735277
74	0.2500931347
75	0.2461216474
76	0.2439711054
77	0.2389886483
78	0.2363406388
79	0.233061635
80	0.2313570851
81	0.2288839231
82	0.2249133082
83	0.2221801527
84	0.2182511063
85	0.2141467426
86	0.2109089265
87	0.208125755
88	0.2055608724
89	0.2022568661
90	0.199151106
91	0.1967632975
92	0.1944655582
93	0.1931690388
94	0.1911610439
95	0.1883287061
96	0.1860881806
97	0.1837862356
98	0.1819617894
99	0.1800413292
