iter	Passed	Remaining
0	17	1721
1	24	1182
2	30	997
3	37	900
4	44	838
5	50	793
6	57	758
7	64	736
8	71	719
9	78	703
10	85	690
11	92	677
12	99	663
13	105	648
14	112	636
15	118	621
16	125	610
17	132	602
18	138	592
19	145	582
20	152	574
21	159	564
22	165	555
23	172	546
24	179	538
25	185	528
26	192	520
27	199	511
28	205	503
29	212	494
30	218	486
31	224	477
32	231	469
33	237	461
34	244	453
35	250	446
36	257	438
37	264	431
38	271	423
39	277	416
40	284	408
41	290	400
42	296	393
43	303	386
44	310	379
45	317	372
46	323	365
47	330	358
48	337	351
49	344	344
50	351	337
51	358	330
52	365	324
53	372	317
54	379	310
55	386	303
56	392	296
57	399	289
58	406	282
59	413	275
60	420	268
61	426	261
62	433	254
63	440	247
64	447	241
65	454	234
66	461	227
67	467	220
68	474	213
69	481	206
70	488	199
71	495	192
72	501	185
73	508	178
74	516	172
75	522	165
76	529	158
77	535	150
78	542	144
79	548	137
80	555	130
81	562	123
82	569	116
83	576	109
84	583	102
85	590	96
86	597	89
87	604	82
88	611	75
89	618	68
90	625	61
91	631	54
92	638	48
93	645	41
94	652	34
95	659	27
96	666	20
97	673	13
98	680	6
99	686	0
